56, asd, CPU, 0, 3, 3, 2023-12-18, 22:27:44.058481900
57, asd, CPU, 0, 3, 3, 2023-12-18, 22:28:59.811266
58, asd, CPU, 0, 3, 1, 2023-12-18, 23:07:35.707194100
59, asd, CPU, 0, 3, 4, 2023-12-19, 00:09:12.027878
60, Decuayer, CPU, 2, 3, 6, 2023-12-19, 00:16:13.280921600
61, Demir, CPU, 0, 3, 3, 2023-12-22, 19:23:11.029330800
62, Demir, Player, 3, 2, 6, 2023-12-22, 19:25:22.997448
63, 1, Player, 3, 1, 6, 2023-12-22, 19:36:27.718740800
64, asda, CPU, 0, 3, 3, 2023-12-22, 19:36:50.200762600
65, 1aswd, CPU, 0, 3, 3, 2023-12-22, 19:36:59.714720300
